RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-10-31,2022-12-31,2023-09-30
394880,300,"Morristown, TN",msa,TN,2022-09-30,1.5,2.8,5.3
394515,301,"Dalton, GA",msa,GA,2022-09-30,0.7,1.5,3.5
394595,302,"Flagstaff, AZ",msa,AZ,2022-09-30,-0.3,-0.4,3.1
395232,303,"Winchester, VA",msa,VA,2022-09-30,0.2,0.2,0.1
394783,304,"Lebanon, PA",msa,PA,2022-09-30,0.8,1.5,2.3
395000,305,"Pottsville, PA",msa,PA,2022-09-30,0.8,1.5,3.6
394879,306,"Morgantown, WV",msa,WV,2022-09-30,0.3,0.2,-1.3
395139,307,"Sumter, SC",msa,SC,2022-09-30,0.5,1.0,1.0
395153,308,"The Villages, FL",msa,FL,2022-09-30,-0.1,0.2,2.4
395094,309,"Sherman, TX",msa,TX,2022-09-30,0.9,1.5,5.0
395221,310,"Wheeling, WV",msa,OH,2022-09-30,0.3,0.3,0.0
394756,311,"La Crosse, WI",msa,WI,2022-09-30,0.2,0.4,0.3
394661,312,"Hammond, LA",msa,LA,2022-09-30,0.6,0.9,-0.9
394900,313,"Napa, CA",msa,CA,2022-09-30,-0.7,-0.4,-1.6
394668,314,"Harrisonburg, VA",msa,VA,2022-09-30,0.4,0.8,-0.1
394728,315,"Jonesboro, AR",msa,AR,2022-09-30,0.3,0.5,0.7
394442,316,"Carbondale, IL",msa,IL,2022-09-30,0.3,0.0,-2.2
394577,317,"Eureka, CA",msa,CA,2022-09-30,-0.2,-0.9,-0.2
395117,318,"Springfield, OH",msa,OH,2022-09-30,0.7,0.4,1.1
394368,319,"Battle Creek, MI",msa,MI,2022-09-30,-0.2,0.2,1.3
394307,320,"Albany, OR",msa,OR,2022-09-30,0.7,1.5,4.3
394890,321,"Mount Vernon, WA",msa,WA,2022-09-30,-0.9,-1.6,0.9
394821,322,"Manhattan, KS",msa,KS,2022-09-30,0.3,0.4,-1.5
394810,323,"Lumberton, NC",msa,NC,2022-09-30,0.5,1.1,2.0
394390,324,"Bismarck, ND",msa,ND,2022-09-30,0.1,-0.4,-3.5
394727,325,"Johnstown, PA",msa,PA,2022-09-30,0.7,1.0,0.4
395098,326,"Sierra Vista, AZ",msa,AZ,2022-09-30,-0.3,-0.7,1.3
394780,327,"Lawton, OK",msa,OK,2022-09-30,0.6,0.6,-1.4
394719,328,"Jamestown, NY",msa,NY,2022-09-30,0.5,1.6,4.3
394474,329,"Cleveland, TN",msa,TN,2022-09-30,0.3,0.9,3.4
394983,330,"Pittsfield, MA",msa,MA,2022-09-30,-0.2,-0.1,0.6
394325,331,"Ames, IA",msa,IA,2022-09-30,0.6,1.1,-1.1
395128,332,"Staunton, VA",msa,VA,2022-09-30,0.1,0.2,-1.2
