Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",August 2021, Inventory YoY ,-0.003874334
"Philadelphia, PA metro area",July 2021, Inventory YoY ,0.005895552
"Philadelphia, PA metro area",June 2021, Inventory YoY ,-0.079487495
"Philadelphia, PA metro area",May 2021, Inventory YoY ,-0.075856082
"Philadelphia, PA metro area",April 2021, Inventory YoY ,-0.011324791
"Philadelphia, PA metro area",March 2021, Inventory YoY ,-0.132964125
"Philadelphia, PA metro area",February 2021, Inventory YoY ,-0.161413073
"Philadelphia, PA metro area",January 2021, Inventory YoY ,-0.092663930
"Philadelphia, PA metro area",December 2020, Inventory YoY ,-0.070283098
"Philadelphia, PA metro area",November 2020, Inventory YoY ,-0.077445122
"Philadelphia, PA metro area",October 2020, Inventory YoY ,-0.096396846
"Philadelphia, PA metro area",September 2020, Inventory YoY ,-0.093087099
"Philadelphia, PA metro area",August 2020, Inventory YoY ,-0.075817760
"Philadelphia, PA metro area",July 2020, Inventory YoY ,-0.116487937
"Philadelphia, PA metro area",June 2020, Inventory YoY ,-0.158869767
"Philadelphia, PA metro area",May 2020, Inventory YoY ,-0.185242191
"Philadelphia, PA metro area",April 2020, Inventory YoY ,-0.211866280
"Philadelphia, PA metro area",March 2020, Inventory YoY ,-0.106790468
"Philadelphia, PA metro area",February 2020, Inventory YoY ,-0.042051083
"Philadelphia, PA metro area",September 2022,Inventory MoM ,-0.052732969
"Philadelphia, PA metro area",August 2022,Inventory MoM ,-0.021019245
"Philadelphia, PA metro area",July 2022,Inventory MoM ,0.002414285
"Philadelphia, PA metro area",June 2022,Inventory MoM ,0.048733287
"Philadelphia, PA metro area",May 2022,Inventory MoM ,-0.005526825
"Philadelphia, PA metro area",April 2022,Inventory MoM ,0.014783535
"Philadelphia, PA metro area",March 2022,Inventory MoM ,-0.016653318
"Philadelphia, PA metro area",February 2022,Inventory MoM ,-0.017484042
"Philadelphia, PA metro area",January 2022,Inventory MoM ,-0.017852298
"Philadelphia, PA metro area",December 2021,Inventory MoM ,-0.001209299
"Philadelphia, PA metro area",November 2021,Inventory MoM ,-0.007343096
"Philadelphia, PA metro area",October 2021,Inventory MoM ,0.008818195
"Philadelphia, PA metro area",September 2021,Inventory MoM ,0.017049049
"Philadelphia, PA metro area",August 2021,Inventory MoM ,0.005381657
